Companies,Websites,Wikipedia pages,National laws,Parent company,Founded,Web crawler,Web analytics,Market research,Profiling,Advertising,Clients,Privacy Policy,Collects PII,PII Comments,Collects Non-PII,Collects Technical Data,Safeguards to prevent the full identification of IP addresses,Opt-out,Opt-out comments,Supports Do Not Track,Access to collected data by user,Data collected by third parties,Browser cookies,Flash cookies,Web Beacons,Disclosure of data to third parties,Disclosure of data to third parties COMMENTS,Prohibits third parties from using data for unspecified purposes,Data retention in days,Compliance Safe Harbour Framework,TRUSTe Privacy Seal certification,Other interesting information,Interesting correlations
Google,http://www.google.com/about/company/facts/locations/ ,https://en.wikipedia.org/wiki/Google  ,US,,1998,Y ,Y,Y ,Y ,Y ,http://www.google.com/enterprise/customers.html ,https://www.google.com/policies/privacy/ ,Y,,Y,Y,Not available,Y ,,N,Y,Y,Y,Y,Y,Y ,But only for legal reasons and for external processing,Not available,Not available,Y,Y,"Google data centre was hacked by the NSA, its data is collected through PRISM and its tracking cookies are used for ""remote exploitation"" by the NSA (PREFID system):https://edwardsnowden.com/revelations",
Facebook,https://www.facebook.com/facebook/info?ref=page_internal  ,https://en.wikipedia.org/wiki/Facebook  ,US,,2004,Y ,N,Y ,Y,Y ,Not available,https://www.facebook.com/policy.php ,Y,,Y,Y,Not available,Y ,But only through the Digital Advertising Alliance website,N,Y,Y,Y,Y,Y,Y ,Primarily to service providers,Not available,Not available,Y,Y,Facebook activity is monitored by the GCHQ in real-time: http://cryptome.org/2014/01/gchq-squeaky-dolphin.pdf ,
Twitter,https://about.twitter.com/  ,https://en.wikipedia.org/wiki/Twitter  ,US,,2006,Y ,Y,N,Y,Y ,Not available,https://twitter.com/privacy ,Y,,Y,Y,Not available,Y ,,Y,Y,Y,Y,Y,Y,Y,,Not available,37,Y,Y,Twitter activity is monitored by the GCHQ in real time: http://cryptome.org/2014/01/gchq-squeaky-dolphin.pdf  ,
AOL ,http://www.aol.com/  ,https://en.wikipedia.org/wiki/AOL  ,US,,1983,Y ,Y,Y,Y,Y,Not available,http://privacy.aol.com/privacy-policy/  ,Y,,Y,Y,Not available,Y ,But only through the Digital Advertising Alliance website,N,Y,Y,Y,Y,Y,Y,,Not available,Not available,Y,Y,Bulk data collection and mining from AOL by the NSA through the PRISM system: https://edwardsnowden.com/revelations#prism-an-nsa-partnership-with-us-service-providers ,
Krux ,http://www.krux.com/ ,Not available,US,,2010,N,N,Y,Y,N,http://www.krux.com/who_we_are/clients_partners/ ,http://www.krux.com/krux_privacy/ ,Y ,But generally try to avoid it,Y,Y,Not available,Y ,,Y,Y,Y,Y,Not available,Y,Y ,But do not share PII without the user's permission,Not available,180,Y,Y,"The UK office is being headed up by Richard Foster, who used to be the UK managing director at TRUSTe: http://www.krux.com/news/krux_news/axel_springer_media_impact_financial_times_and_telegraph_media_group_adopt/ ",
Adobe,http://www.adobe.com/  ,https://en.wikipedia.org/wiki/Adobe_Systems  ,US,,1982,Y ,Y,N,Y,Y ,Not available,https://www.adobe.com/privacy/policy.html ,Y,,Y,Y,Not available,Y,,Not available,Y,Y,Y,Y,Y,Y,,Y,Not available,Y,Not available,"Adobe acquired Omniture, which does data mining: https://www.adobe.com/investor-relations/omniture-acquisition.html ",
comScore ,http://www.comscore.com/  ,https://en.wikipedia.org/wiki/ComScore  ,US,,1999,N,Y,N,Y,N,http://www.comscore.com/Industries ,http://www.comscore.com/About-comScore/Privacy-Policy ,N ,Unless you provide them with it,Y,Y,Not available,N,,N,Not available,Not available,Y ,Not available,Not available,N ,But might disclose data if required by a legal process,Not available,Not available,Y,Y,They recommend the use of Ghostery in their privacy policy. ,
Amazon.com,http://www.amazon.com/  ,https://en.wikipedia.org/wiki/Amazon.com  ,US,,1994,N,Y,N,N,Y,Companies and the public,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496 ,Y,,Y,Y,Not available,Y ,"But if you remove the cookies, you will not be able to use Amazon's services",Y,Y,Y,Y,Y,Not available,Y,,Not available,Not available,Y,Not available,,
Visual Revenue ,https://www.linkedin.com/company/visual-revenue-inc  ,Not available,US,Outbrain,2010,N,N,N,Y,N,Not available,http://www.outbrain.com/legal/privacy-713/ ,Y,,Y,Y,Not available,Y,But you will need to opt-out from every device that you use,Not available,Y,Y,Y,Not available,Y,Y,,Not available,Not available,Y,Y,,
Fox One Stop Media,http://foxinternationalchannels.com/about/fox-one-stop-media  ,https://en.wikipedia.org/wiki/21st_Century_Fox  ,US,21st Century Fox,2013,N,N,N,N,Y,Not available,http://foxinternationalchannels.com/privacy-policy ,Y,,Y,Y,Not available,Y,But then you will have restricted access to content and features,Not available,Y,Y,Y,Y,Y,Y,,Not available,Not available,Not available,Not available,,
